内容,主题概率,主题类型
物品 发货,"[(0, 0.05556086), (1, 0.05557002), (2, 0.056227673), (3, 0.056214325), (4, 0.7207152), (5, 0.05571191)]",4
生产日期,"[(0, 0.08335599), (1, 0.083350375), (2, 0.084509864), (3, 0.58175045), (4, 0.08340862), (5, 0.08362469)]",3
酸奶 结块 保质期 新鲜,"[(0, 0.03781915), (1, 0.038511418), (2, 0.30951452), (3, 0.538036), (4, 0.038251158), (5, 0.03786777)]",3
虚假,"[(0, 0.083800375), (1, 0.5803723), (2, 0.083733134), (3, 0.08373274), (4, 0.084151626), (5, 0.08420988)]",1
泡沫 干冰 拉肚子 客服 机器人,"[(0, 0.027803812), (1, 0.02781935), (2, 0.027967457), (3, 0.8605142), (4, 0.028020155), (5, 0.027875021)]",3
垃圾 商家 保质期 大罐 回家 售后,"[(0, 0.023898108), (1, 0.34887603), (2, 0.024083257), (3, 0.024068162), (4, 0.32825306), (5, 0.2508214)]",1
生产日期 时间,"[(0, 0.05556436), (1, 0.055765398), (2, 0.7205173), (3, 0.056354254), (4, 0.05568274), (5, 0.056115933)]",2
催单 感觉 不妙 酸奶 罐子 袋子 惊喜,"[(0, 0.021082733), (1, 0.021061033), (2, 0.7049146), (3, 0.21075986), (4, 0.021126812), (5, 0.021054946)]",2
冰箱 盒子 酸奶 冰箱 疫情 客服,"[(0, 0.023812952), (1, 0.02382729), (2, 0.32657564), (3, 0.5778108), (4, 0.024094446), (5, 0.023878867)]",3
优惠券 生产日期 新鲜 天气,"[(0, 0.033341434), (1, 0.033407632), (2, 0.832258), (3, 0.033526063), (4, 0.033372138), (5, 0.034094717)]",2
售后,"[(0, 0.0834717), (1, 0.08359682), (2, 0.08348539), (3, 0.08362096), (4, 0.08395541), (5, 0.5818697)]",5
暴力,"[(0, 0.08341925), (1, 0.08343145), (2, 0.08341962), (3, 0.5825433), (4, 0.08341993), (5, 0.08376639)]",3
京东 商城 下单 情况 疫情 原因 发货 京东 客服 发货 客服 客服 不通 客服 领导 协商 小时 无人 傲慢 态度 疫情 原因 发货 原因 京东 客服 机械化 无聊 京东 购物 酸奶,"[(3, 0.67874), (4, 0.30003163)]",3
东西 不错 店铺 客服 机械 京东 客服 京东 京东 客服 京东 客服 购物,"[(0, 0.011920534), (1, 0.011930034), (2, 0.012136057), (3, 0.31105995), (4, 0.6409693), (5, 0.0119841825)]",4
保质期 产品 保质期,"[(0, 0.04172279), (1, 0.041781906), (2, 0.0420231), (3, 0.04199647), (4, 0.79060185), (5, 0.041873876)]",4
保质期 保质期,"[(0, 0.05556196), (1, 0.055581193), (2, 0.055604585), (3, 0.05625381), (4, 0.72142595), (5, 0.05557254)]",4
酸奶 牛奶 添加剂 口感 奶油 长胖 节奏 挺贵,"[(0, 0.018920913), (1, 0.4685619), (2, 0.2529874), (3, 0.22158477), (4, 0.019023089), (5, 0.018921968)]",1
东西 全程 冷链 小哥,"[(0, 0.033356477), (1, 0.2659044), (2, 0.6001645), (3, 0.03334909), (4, 0.03385434), (5, 0.033371266)]",2
酸奶 保质期 商品,"[(0, 0.041702345), (1, 0.041678775), (2, 0.041820243), (3, 0.41356963), (4, 0.4195223), (5, 0.04170669)]",4
客服,"[(0, 0.08334145), (1, 0.08348998), (2, 0.08341733), (3, 0.5809166), (4, 0.08409137), (5, 0.084743276)]",3
图片 京东 塑料袋 纸盒 袋子 酸奶 客服 物流 原因 顾客 京东 物流,"[(0, 0.012887944), (1, 0.012837867), (2, 0.08442283), (3, 0.1299007), (4, 0.74700874), (5, 0.012941939)]",4
生产日期,"[(0, 0.08335597), (1, 0.08335036), (2, 0.084484875), (3, 0.58177584), (4, 0.08340856), (5, 0.08362443)]",3
简陋 袋子 袋子 酸奶 新鲜 保质期 下单 收货 生产日期,"[(0, 0.0166868), (1, 0.016679717), (2, 0.38423854), (3, 0.5487963), (4, 0.016834939), (5, 0.016763745)]",3
酸奶 保温箱 酸奶 有心,"[(0, 0.033355374), (1, 0.033353288), (2, 0.48381928), (3, 0.38264924), (4, 0.033472575), (5, 0.03335025)]",2
评价 内容,"[(0, 0.055616174), (1, 0.056198783), (2, 0.05590769), (3, 0.72087866), (4, 0.055749513), (5, 0.0556492)]",3
增稠剂 拉丝 口感,"[(0, 0.0419881), (1, 0.04183932), (2, 0.24082585), (3, 0.59160405), (4, 0.041873362), (5, 0.04186933)]",3
产品 建议 标好,"[(0, 0.042228296), (1, 0.04231537), (2, 0.042488858), (3, 0.042205468), (4, 0.04255749), (5, 0.7882045)]",5
价格 平台 平台 商品,"[(0, 0.033400167), (1, 0.0333617), (2, 0.03363352), (3, 0.03337602), (4, 0.832782), (5, 0.03344663)]",4
质量,"[(0, 0.08345001), (1, 0.083365194), (2, 0.58247584), (3, 0.08358707), (4, 0.08362143), (5, 0.08350049)]",2
软包装,"[(0, 0.08739284), (1, 0.08738557), (2, 0.08741097), (3, 0.08740684), (4, 0.5629665), (5, 0.08743724)]",4
礼拜 酸奶 豆腐,"[(0, 0.041756727), (1, 0.29796243), (2, 0.32069528), (3, 0.25610217), (4, 0.041746296), (5, 0.041737102)]",2
塑料袋 冷链,"[(0, 0.40556115), (1, 0.055619646), (2, 0.3709044), (3, 0.05562562), (4, 0.0558271), (5, 0.056462124)]",0
